onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
4.8244	0.0002	Stimulus/S128	2	24122	n/a	n/a
11.8944	0.0002	Stimulus/S128	2	59472	n/a	n/a
17.9576	0.0002	Stimulus/S128	2	89788	n/a	n/a
24.0208	0.0002	Stimulus/S128	2	120104	n/a	n/a
32.0844	0.0002	Stimulus/S128	2	160422	n/a	n/a
40.148	0.0002	Stimulus/S128	2	200740	n/a	n/a
47.2114	0.0002	Stimulus/S128	2	236057	n/a	n/a
54.2748	0.0002	Stimulus/S128	2	271374	n/a	n/a
61.3938	0.0002	Stimulus/S128	2	306969	n/a	n/a
67.464	0.0002	Stimulus/S128	2	337320	n/a	n/a
73.5344	0.0002	Stimulus/S128	2	367672	n/a	n/a
80.5976	0.0002	Stimulus/S128	2	402988	n/a	n/a
87.661	0.0002	Stimulus/S128	2	438305	n/a	n/a
93.7382	0.0002	Stimulus/S128	2	468691	n/a	n/a
99.8086	0.0002	Stimulus/S128	2	499043	n/a	n/a
105.8842	0.0002	Stimulus/S128	2	529421	n/a	n/a
111.949	0.0002	Stimulus/S128	2	559745	n/a	n/a
118.0192	0.0002	Stimulus/S128	2	590096	n/a	n/a
124.0894	0.0002	Stimulus/S128	2	620447	n/a	n/a
132.153	0.0002	Stimulus/S128	2	660765	n/a	n/a
138.2162	0.0002	Stimulus/S128	2	691081	n/a	n/a
146.2868	0.0002	Stimulus/S128	2	731434	n/a	n/a
154.3642	0.0002	Stimulus/S128	2	771821	n/a	n/a
162.4486	0.0002	Stimulus/S128	2	812243	n/a	n/a
168.5258	0.0002	Stimulus/S128	2	842629	n/a	n/a
176.5962	0.0002	Stimulus/S128	2	882981	n/a	n/a
184.6738	0.0002	Stimulus/S128	2	923369	n/a	n/a
192.7374	0.0002	Stimulus/S128	2	963687	n/a	n/a
199.801	0.0002	Stimulus/S128	2	999005	n/a	n/a
205.885	0.0002	Stimulus/S128	2	1029425	n/a	n/a
213.9484	0.0002	Stimulus/S128	2	1069742	n/a	n/a
221.0172	0.0002	Stimulus/S128	2	1105086	n/a	n/a
229.103	0.0002	Stimulus/S128	2	1145515	n/a	n/a
237.1806	0.0002	Stimulus/S128	2	1185903	n/a	n/a
245.244	0.0002	Stimulus/S128	2	1226220	n/a	n/a
253.3076	0.0002	Stimulus/S128	2	1266538	n/a	n/a
260.378	0.0002	Stimulus/S128	2	1301890	n/a	n/a
267.4484	0.0002	Stimulus/S128	2	1337242	n/a	n/a
275.5452	0.0002	Stimulus/S128	2	1377726	n/a	n/a
281.61	0.0002	Stimulus/S128	2	1408050	n/a	n/a
289.6874	0.0002	Stimulus/S128	2	1448437	n/a	n/a
295.7506	0.0002	Stimulus/S128	2	1478753	n/a	n/a
301.8208	0.0002	Stimulus/S128	2	1509104	n/a	n/a
308.9052	0.0002	Stimulus/S128	2	1544526	n/a	n/a
314.9892	0.0002	Stimulus/S128	2	1574946	n/a	n/a
322.0526	0.0002	Stimulus/S128	2	1610263	n/a	n/a
329.13	0.0002	Stimulus/S128	2	1645650	n/a	n/a
335.1932	0.0002	Stimulus/S128	2	1675966	n/a	n/a
342.2636	0.0002	Stimulus/S128	2	1711318	n/a	n/a
349.334	0.0002	Stimulus/S128	2	1746670	n/a	n/a
357.4184	0.0002	Stimulus/S128	2	1787092	n/a	n/a
364.4888	0.0002	Stimulus/S128	2	1822444	n/a	n/a
371.5592	0.0002	Stimulus/S128	2	1857796	n/a	n/a
378.7058	0.0002	Stimulus/S128	2	1893529	n/a	n/a
